date,amount,category,account,description,type,direction
2026-04-01,500.00,Allowance,HSBC,Monthly allowance from parents,, credit
2026-04-01,15.50,Transport,Octopus,MTR to Causeway Bay,need,debit
2026-04-02,18.00,Transport,Octopus,MTR round trip HKU to Mong Kok,need,debit
2026-04-03,12.00,Transport,Octopus,Bus to Sai Wan Ho,need,debit
2026-04-04,38.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-05,22.00,Transport,Octopus,MTR to airport express area,need,debit
2026-04-06,14.50,Transport,Octopus,Green minibus + MTR,need,debit
2026-04-07,42.00,Food & Dining,Cash,Weekend dim sum,need,debit
2026-04-08,19.00,Transport,Octopus,MTR HKU to Kowloon Tong,need,debit
2026-04-09,11.00,Transport,Octopus,Bus 23 + MTR,need,debit
2026-04-10,35.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-11,16.50,Transport,Octopus,MTR Admiralty to HKU,need,debit
2026-04-12,88.00,Transport,HSBC,Ferry + bus day trip to Cheung Chau,want,debit
2026-04-13,25.00,Entertainment,Cash,Movie at The ONE,want,debit
2026-04-14,13.00,Transport,Octopus,MTR to Tsim Sha Tsui,need,debit
2026-04-15,17.50,Transport,Octopus,Bus + MTR round trip,need,debit
2026-04-16,20.00,Transport,Octopus,MTR to Causeway Bay and back,need,debit
2026-04-17,62.00,Transport,HSBC,Cross-boundary coach to Shenzhen,want,debit
2026-04-18,14.00,Transport,Octopus,MTR + light rail,need,debit
2026-04-19,38.00,Food & Dining,Octopus,Canteen meals,need,debit
2026-04-20,18.50,Transport,Octopus,MTR HKU to Mongkok,need,debit
